;ID_Bestand;Titel;Autoren;Jahr;Gattung;Kennung;Zugriffsort
76;77;Das Geisterhaus;Isabel Allende;1984.0;Roman;fWr15382;HpZ91465
77;78;Das Geisterhaus;Isabel Allende;1984.0;Roman;pMA56109;GSe27561
78;79;Das Geisterhaus;Isabel Allende;1984.0;Roman;vQX45687;WIJ84203
79;80;Das Geisterhaus;Isabel Allende;1984.0;Roman;CZP65714;qOK25830
80;81;Das Geisterhaus;Isabel Allende;1984.0;Roman;Zcy92817;Mzv09458
81;82;Das Geisterhaus;Isabel Allende;1984.0;Roman;Sjz36570;crl42978
82;83;Gabriela wie Zimt und Nelken;Jorge Amado;1958.0;Roman;yFa24906;hVp32870
83;84;Gabriela wie Zimt und Nelken;Jorge Amado;1958.0;Roman;Fhe58236;Qgh76240
84;85;Gabriela wie Zimt und Nelken;Jorge Amado;1958.0;Roman;nqJ41973;FRi50769
85;86;Gabriela wie Zimt und Nelken;Jorge Amado;1958.0;Roman;XOd30274;bwU89153
86;87;Gabriela wie Zimt und Nelken;Jorge Amado;1958.0;Roman;sZl79524;uQl71892
87;88;Elling-Tetralogie;Ingvar Ambjørnsen;1996.0;Roman;SdH01759;HRi81645
88;89;Elling-Tetralogie;Ingvar Ambjørnsen;1996.0;Roman;Lhf17435;lBX13576
89;90;Elling-Tetralogie;Ingvar Ambjørnsen;1996.0;Roman;lwY70163;xnE45903
90;91;Elling-Tetralogie;Ingvar Ambjørnsen;1996.0;Roman;rUm28460;PpZ39574
91;92;Elling-Tetralogie;Ingvar Ambjørnsen;1996.0;Roman;HNQ69208;YNn63472
92;93;Elling-Tetralogie;Ingvar Ambjørnsen;1996.0;Roman;SpH71052;qzu16842
93;94;Elling-Tetralogie;Ingvar Ambjørnsen;1996.0;Roman;LeW59830;PpN05163
94;95;Topkapi;Eric Ambler;1962.0;Roman;UaJ41850;ZML82319
95;96;Topkapi;Eric Ambler;1962.0;Roman;tGm82094;siR03214
96;97;Topkapi;Eric Ambler;1962.0;Roman;osI83156;zHX41635
97;98;Topkapi;Eric Ambler;1962.0;Roman;cBw20756;BNR16038
98;99;Topkapi;Eric Ambler;1962.0;Roman;kjl45208;abF70869
99;100;Topkapi;Eric Ambler;1962.0;Roman;dKX21057;zfB69572
100;101;Topkapi;Eric Ambler;1962.0;Roman;gAR82074;Uha97843
101;102;Topkapi;Eric Ambler;1962.0;Roman;BoV82917;bsJ46039
102;103;Hand an sich legen;Jean Améry;1976.0;Philosophie;EGi95401;sZw27946
103;104;Hand an sich legen;Jean Améry;1976.0;Philosophie;Wnp21973;OvZ27180
104;105;Hand an sich legen;Jean Améry;1976.0;Philosophie;RWD87413;Ujs91286
105;106;Hand an sich legen;Jean Améry;1976.0;Philosophie;szd49572;YsM12473
106;107;Hand an sich legen;Jean Améry;1976.0;Philosophie;nWv35297;jym35124
107;108;Hand an sich legen;Jean Améry;1976.0;Philosophie;wFD15689;sIa63245
108;109;Hand an sich legen;Jean Améry;1976.0;Philosophie;ZRa02794;gHu14027
109;110;Die Antiquiertheit des Menschen;Günther Anders;1956.0;Sachbuch;HVj43215;CNp85102
110;111;Die Antiquiertheit des Menschen;Günther Anders;1956.0;Sachbuch;YTH67129;Nhm71945
111;112;Die Antiquiertheit des Menschen;Günther Anders;1956.0;Sachbuch;oAD14826;WEr57423
112;113;Die Antiquiertheit des Menschen;Günther Anders;1956.0;Sachbuch;uAS38576;Ejg50937
113;114;Die Antiquiertheit des Menschen;Günther Anders;1956.0;Sachbuch;itK05734;PkS08217
114;115;Die Antiquiertheit des Menschen;Günther Anders;1956.0;Sachbuch;MoR93762;Rhe34217
115;116;Die Antiquiertheit des Menschen;Günther Anders;1956.0;Sachbuch;dMY29178;ZTh14286
116;117;Sansibar oder der letzte Grund;Alfred Andersch;1957.0;Roman;jeM92168;coL35248
117;118;Sansibar oder der letzte Grund;Alfred Andersch;1957.0;Roman;XoI32508;Rbe20978
118;119;Sansibar oder der letzte Grund;Alfred Andersch;1957.0;Roman;LTN20859;kGQ92134
119;120;Sansibar oder der letzte Grund;Alfred Andersch;1957.0;Roman;Tfx15982;vJj21079
120;121;Sansibar oder der letzte Grund;Alfred Andersch;1957.0;Roman;bhv71306;uPw42809
121;122;Sansibar oder der letzte Grund;Alfred Andersch;1957.0;Roman;KiQ09236;EoR23865
122;123;Sansibar oder der letzte Grund;Alfred Andersch;1957.0;Roman;uBq09612;SVP46829
123;124;Sansibar oder der letzte Grund;Alfred Andersch;1957.0;Roman;PVg48509;VXa54798
124;125;Märchen;Hans Christian Andersen;1835.0;Erzählung;KzB70249;aFr57041
125;126;Märchen;Hans Christian Andersen;1835.0;Erzählung;RtN21405;EJm51487
126;127;Märchen;Hans Christian Andersen;1835.0;Erzählung;LzF28793;iPo53691
127;128;Märchen;Hans Christian Andersen;1835.0;Erzählung;MYa46273;vYt17582
128;129;Märchen;Hans Christian Andersen;1835.0;Erzählung;Hmb58096;jrM06589
129;130;Märchen;Hans Christian Andersen;1835.0;Erzählung;AMj19835;edj71369
130;131;Pelle, der Eroberer;Martin Andersen Nexø;1906.0;Roman;SMO43089;zSc05437
131;132;Pelle, der Eroberer;Martin Andersen Nexø;1906.0;Roman;aBz69185;zQX60789
132;133;Pelle, der Eroberer;Martin Andersen Nexø;1906.0;Roman;LMP54128;BWq07561
133;134;Pelle, der Eroberer;Martin Andersen Nexø;1906.0;Roman;evJ47238;tDE09312
134;135;Pelle, der Eroberer;Martin Andersen Nexø;1906.0;Roman;Phx69824;CSv93786
135;136;Pelle, der Eroberer;Martin Andersen Nexø;1906.0;Roman;AFv40953;dSu20986
136;137;Winesburg, Ohio;Sherwood Anderson;1923.0;Erzählung;XrB78260;Kal40793
137;138;Winesburg, Ohio;Sherwood Anderson;1923.0;Erzählung;UKY57912;umC82694
138;139;Winesburg, Ohio;Sherwood Anderson;1923.0;Erzählung;KsA92480;eUZ27543
139;140;Winesburg, Ohio;Sherwood Anderson;1923.0;Erzählung;jCH85901;Xjr63798
140;141;Winesburg, Ohio;Sherwood Anderson;1923.0;Erzählung;LaI81097;tgT15720
141;142;Winesburg, Ohio;Sherwood Anderson;1923.0;Erzählung;gbk78306;wjr04637
142;143;Macunaíma – Der Held ohne jeden Charakter;Mário de Andrade;1928.0;Roman;bAv04796;WZk23178
143;144;Macunaíma – Der Held ohne jeden Charakter;Mário de Andrade;1928.0;Roman;kMa64729;xTP06854
144;145;Macunaíma – Der Held ohne jeden Charakter;Mário de Andrade;1928.0;Roman;OGT28761;FhY48651
145;146;Macunaíma – Der Held ohne jeden Charakter;Mário de Andrade;1928.0;Roman;bLP20615;lcN04529
146;147;Macunaíma – Der Held ohne jeden Charakter;Mário de Andrade;1928.0;Roman;oZk17305;SlI28061
147;148;Macunaíma – Der Held ohne jeden Charakter;Mário de Andrade;1928.0;Roman;ZNG06349;cJI62087
148;149;Macunaíma – Der Held ohne jeden Charakter;Mário de Andrade;1928.0;Roman;Tdw09348;AuD17485
149;150;Macunaíma – Der Held ohne jeden Charakter;Mário de Andrade;1928.0;Roman;RGP21604;xgf29871
150;151;Die Brücke über die Drina;Ivo Andric;1945.0;Roman;geW96375;okC83160
151;152;Die Brücke über die Drina;Ivo Andric;1945.0;Roman;alV41295;kdE09758
152;153;Die Brücke über die Drina;Ivo Andric;1945.0;Roman;mru53146;vAW18347
153;154;Die Brücke über die Drina;Ivo Andric;1945.0;Roman;dHb18672;Knz91270
154;155;Die Brücke über die Drina;Ivo Andric;1945.0;Roman;REr38296;yez76108
155;156;Die Brücke über die Drina;Ivo Andric;1945.0;Roman;GsM01862;dTF84305
156;157;Asche und Diamant;Jerzy Andrzejewski;1948.0;Roman;Riq87209;WNh02357
157;158;Asche und Diamant;Jerzy Andrzejewski;1948.0;Roman;src60427;vBO38674
158;159;Asche und Diamant;Jerzy Andrzejewski;1948.0;Roman;GOP96874;shT39581
159;160;Asche und Diamant;Jerzy Andrzejewski;1948.0;Roman;phz14253;PrX60528
160;161;Asche und Diamant;Jerzy Andrzejewski;1948.0;Roman;LxW95072;Zbx97085
161;162;Asche und Diamant;Jerzy Andrzejewski;1948.0;Roman;hfF50896;XLu74210
162;163;Asche und Diamant;Jerzy Andrzejewski;1948.0;Roman;YTF32560;Etn98403
163;164;Asche und Diamant;Jerzy Andrzejewski;1948.0;Roman;fmj19568;Nbg20358
164;165;Feuer;Gabriele D’Annunzio;1900.0;Roman;OVg50148;cKZ36025
165;166;Feuer;Gabriele D’Annunzio;1900.0;Roman;EOR93246;iys18572
166;167;Feuer;Gabriele D’Annunzio;1900.0;Roman;bGF86341;zbZ31560
167;168;Feuer;Gabriele D’Annunzio;1900.0;Roman;zIn65837;BGr68140
168;169;Feuer;Gabriele D’Annunzio;1900.0;Roman;PlW26913;HOz54013
169;170;Feuer;Gabriele D’Annunzio;1900.0;Roman;gGz45023;HUL79541
170;171;Feuer;Gabriele D’Annunzio;1900.0;Roman;QOS34521;BKb16890
171;172;Gilgamesch-Epos;Unbekannt;-2400.0;Epos;Fbc96582;OIt83210
172;173;Gilgamesch-Epos;Unbekannt;-2400.0;Epos;anh58147;lbn62790
173;174;Gilgamesch-Epos;Unbekannt;-2400.0;Epos;mXn95320;TKm29346
174;175;Gilgamesch-Epos;Unbekannt;-2400.0;Epos;UsO67809;cRm36247
175;176;Gilgamesch-Epos;Unbekannt;-2400.0;Epos;iXS72469;xuK42918
176;177;Gilgamesch-Epos;Unbekannt;-2400.0;Epos;AQM04219;kOK45123
177;178;Rigveda;Unbekannt;-1200.0;Epos;mlz98432;jLK14260
178;179;Rigveda;Unbekannt;-1200.0;Epos;Wor25341;eCO32867
179;180;Rigveda;Unbekannt;-1200.0;Epos;Ybz56132;SrP61482
180;181;Rigveda;Unbekannt;-1200.0;Epos;iDO67208;hGB93028
181;182;Rigveda;Unbekannt;-1200.0;Epos;JfK35689;PLR70641
182;183;Rigveda;Unbekannt;-1200.0;Epos;Xfo23967;wOj82753
183;184;Upanishaden;Unbekannt;-800.0;Religion;Web08261;juk21053
184;185;Upanishaden;Unbekannt;-800.0;Religion;LnG23847;igc56307
185;186;Upanishaden;Unbekannt;-800.0;Religion;DTO01485;dqx57209
186;187;Upanishaden;Unbekannt;-800.0;Religion;gxh53901;Cxw71368
187;188;Upanishaden;Unbekannt;-800.0;Religion;nwe15602;SDr67953
188;189;Reden des Buddha;Unbekannt;-566.0;Religion;mPM96247;FXu46895
189;190;Reden des Buddha;Unbekannt;-566.0;Religion;Dyt50743;tVw73506
190;191;Reden des Buddha;Unbekannt;-566.0;Religion;iZr01273;fAe28519
191;192;Reden des Buddha;Unbekannt;-566.0;Religion;vwo41897;hFI28145
192;193;Reden des Buddha;Unbekannt;-566.0;Religion;opN75610;Qfs21480
193;194;Reden des Buddha;Unbekannt;-566.0;Religion;AiQ71095;jmg48216
194;195;Reden des Buddha;Unbekannt;-566.0;Religion;wlU39867;tNA74802
195;196;Mahabharata;Unbekannt;-400.0;Epos;kje57620;XUz64217
196;197;Mahabharata;Unbekannt;-400.0;Epos;pRD35714;ols57203
197;198;Mahabharata;Unbekannt;-400.0;Epos;CtP37280;kqn51972
198;199;Mahabharata;Unbekannt;-400.0;Epos;jIx57138;eZr60873
199;200;Mahabharata;Unbekannt;-400.0;Epos;OLZ23705;lPT63028
200;201;Mahabharata;Unbekannt;-400.0;Epos;XgV56804;qJv90253
201;202;Mahabharata;Unbekannt;-400.0;Epos;Dad30897;uTF86935
202;203;Mahabharata;Unbekannt;-400.0;Epos;TqP60587;IUF47908
203;204;Ramayana;Unbekannt;-400.0;Epos;sbN76285;KqQ02513
204;205;Ramayana;Unbekannt;-400.0;Epos;Uoc41368;qXM24560
205;206;Ramayana;Unbekannt;-400.0;Epos;UJY98602;sVM51826
206;207;Ramayana;Unbekannt;-400.0;Epos;EJO59860;oxB34518
207;208;Ramayana;Unbekannt;-400.0;Epos;xbu58794;Epv20375
208;209;Ramayana;Unbekannt;-400.0;Epos;cJU79804;UhI48275
209;210;Das Buch der Wandlungen – Yijing;Unbekannt;-256.0;Orakelbuch;Dcd24796;IcH76021
210;211;Das Buch der Wandlungen – Yijing;Unbekannt;-256.0;Orakelbuch;OKg73052;mWJ92875
211;212;Das Buch der Wandlungen – Yijing;Unbekannt;-256.0;Orakelbuch;lvp94031;vol40972
212;213;Das Buch der Wandlungen – Yijing;Unbekannt;-256.0;Orakelbuch;VMv82079;tdD82654
213;214;Das Buch der Wandlungen – Yijing;Unbekannt;-256.0;Orakelbuch;CVf93015;rVM05921
214;215;Das Buch der Wandlungen – Yijing;Unbekannt;-256.0;Orakelbuch;nCX72691;Dgq68910
215;216;Bibel;Unbekannt;;Religion;Xkd05378;Ujc14286
216;217;Bibel;Unbekannt;;Religion;Cco79638;cor81273
217;218;Bibel;Unbekannt;;Religion;WcT13586;Odv62745
218;219;Bibel;Unbekannt;;Religion;tUL32498;CuX65981
219;220;Bibel;Unbekannt;;Religion;gyG53421;pxJ53609
220;221;Bibel;Unbekannt;;Religion;Opb12594;VQW46879
221;222;Bibel;Unbekannt;;Religion;chT29483;Acd02976
222;223;Talmud;Unbekannt;300.0;Religion;nwq15438;YcI30792
223;224;Talmud;Unbekannt;300.0;Religion;pVD16420;GPc50742
224;225;Talmud;Unbekannt;300.0;Religion;lIG70365;uAZ63580
225;226;Talmud;Unbekannt;300.0;Religion;YGi87639;rpI49531
226;227;Talmud;Unbekannt;300.0;Religion;ioU26459;fDB28436
227;228;Talmud;Unbekannt;300.0;Religion;dec21846;yOR61392
228;229;Koran;Unbekannt;600.0;Religion;MBY30298;Bbl17234
229;230;Koran;Unbekannt;600.0;Religion;LwP73258;PAU38674
230;231;Koran;Unbekannt;600.0;Religion;UzO15268;HED63471
231;232;Koran;Unbekannt;600.0;Religion;tNY21560;bLF90715
232;233;Koran;Unbekannt;600.0;Religion;sGn51943;djt34827
233;234;Koran;Unbekannt;600.0;Religion;ZEk08679;Cxk63905
234;235;Koran;Unbekannt;600.0;Religion;cFr83702;XjC38902
235;236;Beowulf;Unbekannt;700.0;Epos;cHp46018;fug27589
236;237;Beowulf;Unbekannt;700.0;Epos;clv23489;GRl08739
237;238;Beowulf;Unbekannt;700.0;Epos;XlO72834;NWT26301
238;239;Beowulf;Unbekannt;700.0;Epos;bWN76439;fbt63087
239;240;Beowulf;Unbekannt;700.0;Epos;OMf67985;EfQ12570
240;241;Rolandslied;Unbekannt;1100.0;Epos;jpv97485;WDa87649
241;242;Rolandslied;Unbekannt;1100.0;Epos;KWf01872;kOb26703
242;243;Rolandslied;Unbekannt;1100.0;Epos;TCV07824;KWU45780
243;244;Rolandslied;Unbekannt;1100.0;Epos;byV26503;Mcr06423
244;245;Rolandslied;Unbekannt;1100.0;Epos;GNH29501;wnP32974
245;246;Rolandslied;Unbekannt;1100.0;Epos;TMx13592;swp51482
246;247;Rolandslied;Unbekannt;1100.0;Epos;jzJ06192;VkP34912
247;248;Rolandslied;Unbekannt;1100.0;Epos;PEo53106;sMN21037
248;249;Nibelungenlied;Unbekannt;1200.0;Epos;KpU29380;tDg54790
249;250;Nibelungenlied;Unbekannt;1200.0;Epos;Hsu59201;FJn38174
250;251;Nibelungenlied;Unbekannt;1200.0;Epos;cvF40793;TZS34985
251;252;Nibelungenlied;Unbekannt;1200.0;Epos;KZy21304;bAJ46795
252;253;Nibelungenlied;Unbekannt;1200.0;Epos;zRG62301;FPw62951
253;254;Nibelungenlied;Unbekannt;1200.0;Epos;nfe90241;pZC57926
254;255;Nibelungenlied;Unbekannt;1200.0;Epos;SBb90781;UBP24695
255;256;Nibelungenlied;Unbekannt;1200.0;Epos;QuS31426;KJW27648
256;257;Rosenroman;Guillaume de Lorris, Jean de Meung;1230.0;Versroman;ONe95381;vKo43598
257;258;Rosenroman;Guillaume de Lorris, Jean de Meung;1230.0;Versroman;dek20987;Omo92853
258;259;Rosenroman;Guillaume de Lorris, Jean de Meung;1230.0;Versroman;jtb12634;oMt39207
259;260;Rosenroman;Guillaume de Lorris, Jean de Meung;1230.0;Versroman;MpU23674;MOd62950
260;261;Rosenroman;Guillaume de Lorris, Jean de Meung;1230.0;Versroman;VUC95764;Jts82107
261;262;Edda;Unbekannt;1300.0;Epos;RCK48219;fdO96754
262;263;Edda;Unbekannt;1300.0;Epos;xNQ60542;kRz49081
263;264;Edda;Unbekannt;1300.0;Epos;gbJ56103;bxd85120
264;265;Edda;Unbekannt;1300.0;Epos;FeV36041;VdM87026
265;266;Edda;Unbekannt;1300.0;Epos;oEH12436;QFx94027
266;267;Edda;Unbekannt;1300.0;Epos;GFn59087;sux78906
267;268;Edda;Unbekannt;1300.0;Epos;Kke42165;rsq03518
268;269;Edda;Unbekannt;1300.0;Epos;MDJ54068;VsK87492
269;270;Amadisroman;Unbekannt;1508.0;Roman;Wvp47120;yHf40693
270;271;Amadisroman;Unbekannt;1508.0;Roman;QqB27960;auL45179
271;272;Amadisroman;Unbekannt;1508.0;Roman;UER25734;Htp64891
272;273;Amadisroman;Unbekannt;1508.0;Roman;zBH41083;Ytj26409
273;274;Amadisroman;Unbekannt;1508.0;Roman;ZBl30467;uSD75609
274;275;Amadisroman;Unbekannt;1508.0;Roman;frL89654;cRj07834
275;276;Jinpingmei;Unbekannt;1582.0;Roman;hzu53864;cDJ12567
276;277;Jinpingmei;Unbekannt;1582.0;Roman;dCT16270;uHB95674
277;278;Jinpingmei;Unbekannt;1582.0;Roman;uhd40852;sWA42051
278;279;Jinpingmei;Unbekannt;1582.0;Roman;puy02481;kEQ81937
279;280;Jinpingmei;Unbekannt;1582.0;Roman;YHt58637;ARy19576
280;281;Jinpingmei;Unbekannt;1582.0;Roman;GBa07196;WtB92765
281;282;Tausendundeine Nacht;Unbekannt;1838.0;Erzählung;LPt67219;UBa06548
282;283;Tausendundeine Nacht;Unbekannt;1838.0;Erzählung;Ilq07185;bqK82036
283;284;Tausendundeine Nacht;Unbekannt;1838.0;Erzählung;sxy53618;Fku21865
284;285;Tausendundeine Nacht;Unbekannt;1838.0;Erzählung;vfS25069;ImZ89715
285;286;Tausendundeine Nacht;Unbekannt;1838.0;Erzählung;ubZ25340;XzI92753
286;287;Tausendundeine Nacht;Unbekannt;1838.0;Erzählung;SWg50872;APn74035
287;288;Tausendundeine Nacht;Unbekannt;1838.0;Erzählung;JVF83129;BsU03695
288;289;Tausendundeine Nacht;Unbekannt;1838.0;Erzählung;vsz41930;yki25063
289;290;Das Handbuch der Inquisitoren;António Lobo Antunes;1996.0;Roman;EeG47539;Lxl75248
290;291;Das Handbuch der Inquisitoren;António Lobo Antunes;1996.0;Roman;cxg72831;jtA82370
291;292;Das Handbuch der Inquisitoren;António Lobo Antunes;1996.0;Roman;wfb49231;LoZ73654
292;293;Das Handbuch der Inquisitoren;António Lobo Antunes;1996.0;Roman;OYW48961;ZYn71520
293;294;Das Handbuch der Inquisitoren;António Lobo Antunes;1996.0;Roman;Omb52319;YTp53462
294;295;Das Handbuch der Inquisitoren;António Lobo Antunes;1996.0;Roman;vyB54706;Jpm63271
295;296;Das Handbuch der Inquisitoren;António Lobo Antunes;1996.0;Roman;qRo02615;QtE03598
296;297;Alkohol;Guillaume Apollinaire;1913.0;Lyrik;PtM43819;viA82165
297;298;Alkohol;Guillaume Apollinaire;1913.0;Lyrik;iWA87021;Pzr08216
298;299;Alkohol;Guillaume Apollinaire;1913.0;Lyrik;NAJ02715;laQ65207
299;300;Alkohol;Guillaume Apollinaire;1913.0;Lyrik;Oid23745;dcH64317
300;301;Alkohol;Guillaume Apollinaire;1913.0;Lyrik;ZNV42871;uzo58690
301;302;Der goldene Esel;Apuleius;180.0;Roman;hSR30872;RZV91754
302;303;Der goldene Esel;Apuleius;180.0;Roman;sAD86152;cmX32589
303;304;Der goldene Esel;Apuleius;180.0;Roman;pDS63042;sXH61840
304;305;Der goldene Esel;Apuleius;180.0;Roman;Bqb81054;Xpm70342
305;306;Der goldene Esel;Apuleius;180.0;Roman;WYB06783;hOb82609
306;307;Der goldene Esel;Apuleius;180.0;Roman;puG49068;fsC91207
307;308;Der goldene Esel;Apuleius;180.0;Roman;OJp14270;Hmj01325
308;309;Summa Theologiae;Thomas von Aquin;1267.0;Theologie;cUf59048;rLE59847
309;310;Summa Theologiae;Thomas von Aquin;1267.0;Theologie;lqy53104;fAL96420
310;311;Summa Theologiae;Thomas von Aquin;1267.0;Theologie;irp59326;omn52613
311;312;Summa Theologiae;Thomas von Aquin;1267.0;Theologie;OQq16538;DIK18502
312;313;Summa Theologiae;Thomas von Aquin;1267.0;Theologie;CRK15768;jLB72046
