ID_Bestand;Nr;Autor;Titel;Jahr;Art;Herkunft;Kennung;Zugriffsort
39;6;Samuel Agnon;Gestern, vorgestern;1945;Roman;Israel;wEW14059;ERk73169
40;6;Samuel Agnon;Gestern, vorgestern;1945;Roman;Israel;utm96357;Mrd13620
41;6;Samuel Agnon;Gestern, vorgestern;1945;Roman;Israel;MXg07695;alq08571
42;6;Samuel Agnon;Gestern, vorgestern;1945;Roman;Israel;rdk39851;ZLm71506
43;7;Ilse Aichinger;Die größere Hoffnung;1948;Roman;Österreich;Gjt40651;iAK70564
44;7;Ilse Aichinger;Die größere Hoffnung;1948;Roman;Österreich;cpH34892;hqd60897
45;7;Ilse Aichinger;Die größere Hoffnung;1948;Roman;Österreich;Odu29830;qHS43062
46;7;Ilse Aichinger;Die größere Hoffnung;1948;Roman;Österreich;nGY60237;dPk68042
47;7;Ilse Aichinger;Die größere Hoffnung;1948;Roman;Österreich;avH24975;BHl93478
48;7;Ilse Aichinger;Die größere Hoffnung;1948;Roman;Österreich;ScY85624;Mmv07685
49;7;Ilse Aichinger;Die größere Hoffnung;1948;Roman;Österreich;ITY63978;CvH42739
50;8;Tschingis Aitmatow;Dshamilja;1958;Erzählung;Russland;Umg06853;HGO40129
51;8;Tschingis Aitmatow;Dshamilja;1958;Erzählung;Russland;DFv74601;qiL10684
52;8;Tschingis Aitmatow;Dshamilja;1958;Erzählung;Russland;HMO25869;XLn43126
53;8;Tschingis Aitmatow;Dshamilja;1958;Erzählung;Russland;Iez84106;dRg84597
54;8;Tschingis Aitmatow;Dshamilja;1958;Erzählung;Russland;rVO80345;ukf49730
55;8;Tschingis Aitmatow;Dshamilja;1958;Erzählung;Russland;QKh18743;nYD20615
56;8;Tschingis Aitmatow;Dshamilja;1958;Erzählung;Russland;IqE30529;prK24568
57;8;Tschingis Aitmatow;Dshamilja;1958;Erzählung;Russland;vNB73201;aXq63157
58;9;Alain-Fournier;Der große Meaulnes;1913;Roman;Frankreich;GkR97321;BSD23795
59;9;Alain-Fournier;Der große Meaulnes;1913;Roman;Frankreich;Ksb02476;flu97635
60;9;Alain-Fournier;Der große Meaulnes;1913;Roman;Frankreich;noH87015;hzn90318
61;9;Alain-Fournier;Der große Meaulnes;1913;Roman;Frankreich;hgW17068;xYT61830
62;9;Alain-Fournier;Der große Meaulnes;1913;Roman;Frankreich;ncF56037;Lel63792
63;9;Alain-Fournier;Der große Meaulnes;1913;Roman;Frankreich;bvC58706;okv89716
64;9;Alain-Fournier;Der große Meaulnes;1913;Roman;Frankreich;mUu95240;UeC87135
65;10;Mateo Alemán;Guzmán de Alfarache;1599;Roman;Spanien;boI51407;XhW39601
66;10;Mateo Alemán;Guzmán de Alfarache;1599;Roman;Spanien;vqc84130;aeO62381
67;10;Mateo Alemán;Guzmán de Alfarache;1599;Roman;Spanien;zmu56729;FYx10297
68;10;Mateo Alemán;Guzmán de Alfarache;1599;Roman;Spanien;zog47538;pOP50692
69;10;Mateo Alemán;Guzmán de Alfarache;1599;Roman;Spanien;Xeb13947;qzE15276
70;10;Mateo Alemán;Guzmán de Alfarache;1599;Roman;Spanien;mZP61037;hVu73510
71;11;Nelson Algren;Der Mann mit dem goldenen Arm;1949;Roman;USA;rwm68139;yhG86354
72;11;Nelson Algren;Der Mann mit dem goldenen Arm;1949;Roman;USA;xTo67104;YTy73645
73;11;Nelson Algren;Der Mann mit dem goldenen Arm;1949;Roman;USA;ZKS96532;TUh04691
74;11;Nelson Algren;Der Mann mit dem goldenen Arm;1949;Roman;USA;Zoa84062;Wsc87491
75;11;Nelson Algren;Der Mann mit dem goldenen Arm;1949;Roman;USA;eHp84015;cYa83176
76;12;Isabel Allende;Das Geisterhaus;1984;Roman;USA;dKV98641;GPB79423
77;12;Isabel Allende;Das Geisterhaus;1984;Roman;USA;fWr15382;HpZ91465
78;12;Isabel Allende;Das Geisterhaus;1984;Roman;USA;pMA56109;GSe27561
79;12;Isabel Allende;Das Geisterhaus;1984;Roman;USA;vQX45687;WIJ84203
80;12;Isabel Allende;Das Geisterhaus;1984;Roman;USA;CZP65714;qOK25830
81;12;Isabel Allende;Das Geisterhaus;1984;Roman;USA;Zcy92817;Mzv09458
82;12;Isabel Allende;Das Geisterhaus;1984;Roman;USA;Sjz36570;crl42978
83;13;Jorge Amado;Gabriela wie Zimt und Nelken;1958;Roman;Brasilien;yFa24906;hVp32870
84;13;Jorge Amado;Gabriela wie Zimt und Nelken;1958;Roman;Brasilien;Fhe58236;Qgh76240
85;13;Jorge Amado;Gabriela wie Zimt und Nelken;1958;Roman;Brasilien;nqJ41973;FRi50769
86;13;Jorge Amado;Gabriela wie Zimt und Nelken;1958;Roman;Brasilien;XOd30274;bwU89153
87;13;Jorge Amado;Gabriela wie Zimt und Nelken;1958;Roman;Brasilien;sZl79524;uQl71892
88;14;Ingvar Ambjørnsen;Elling-Tetralogie;1996;Roman;Norwegen;SdH01759;HRi81645
89;14;Ingvar Ambjørnsen;Elling-Tetralogie;1996;Roman;Norwegen;Lhf17435;lBX13576
90;14;Ingvar Ambjørnsen;Elling-Tetralogie;1996;Roman;Norwegen;lwY70163;xnE45903
91;14;Ingvar Ambjørnsen;Elling-Tetralogie;1996;Roman;Norwegen;rUm28460;PpZ39574
92;14;Ingvar Ambjørnsen;Elling-Tetralogie;1996;Roman;Norwegen;HNQ69208;YNn63472
93;14;Ingvar Ambjørnsen;Elling-Tetralogie;1996;Roman;Norwegen;SpH71052;qzu16842
94;14;Ingvar Ambjørnsen;Elling-Tetralogie;1996;Roman;Norwegen;LeW59830;PpN05163
95;15;Eric Ambler;Topkapi;1962;Roman;Großbritannien;UaJ41850;ZML82319
96;15;Eric Ambler;Topkapi;1962;Roman;Großbritannien;tGm82094;siR03214
97;15;Eric Ambler;Topkapi;1962;Roman;Großbritannien;osI83156;zHX41635
98;15;Eric Ambler;Topkapi;1962;Roman;Großbritannien;cBw20756;BNR16038
99;15;Eric Ambler;Topkapi;1962;Roman;Großbritannien;kjl45208;abF70869
100;15;Eric Ambler;Topkapi;1962;Roman;Großbritannien;dKX21057;zfB69572
101;15;Eric Ambler;Topkapi;1962;Roman;Großbritannien;gAR82074;Uha97843
102;15;Eric Ambler;Topkapi;1962;Roman;Großbritannien;BoV82917;bsJ46039
103;16;Jean Améry;Hand an sich legen;1976;Philosophie;Österreich;EGi95401;sZw27946
104;16;Jean Améry;Hand an sich legen;1976;Philosophie;Österreich;Wnp21973;OvZ27180
105;16;Jean Améry;Hand an sich legen;1976;Philosophie;Österreich;RWD87413;Ujs91286
106;16;Jean Améry;Hand an sich legen;1976;Philosophie;Österreich;szd49572;YsM12473
107;16;Jean Améry;Hand an sich legen;1976;Philosophie;Österreich;nWv35297;jym35124
108;16;Jean Améry;Hand an sich legen;1976;Philosophie;Österreich;wFD15689;sIa63245
109;16;Jean Améry;Hand an sich legen;1976;Philosophie;Österreich;ZRa02794;gHu14027
110;17;Günther Anders;Die Antiquiertheit des Menschen;1956;Sachbuch;Österreich;HVj43215;CNp85102
111;17;Günther Anders;Die Antiquiertheit des Menschen;1956;Sachbuch;Österreich;YTH67129;Nhm71945
112;17;Günther Anders;Die Antiquiertheit des Menschen;1956;Sachbuch;Österreich;oAD14826;WEr57423
113;17;Günther Anders;Die Antiquiertheit des Menschen;1956;Sachbuch;Österreich;uAS38576;Ejg50937
114;17;Günther Anders;Die Antiquiertheit des Menschen;1956;Sachbuch;Österreich;itK05734;PkS08217
115;17;Günther Anders;Die Antiquiertheit des Menschen;1956;Sachbuch;Österreich;MoR93762;Rhe34217
116;17;Günther Anders;Die Antiquiertheit des Menschen;1956;Sachbuch;Österreich;dMY29178;ZTh14286
117;18;Alfred Andersch;Sansibar oder der letzte Grund;1957;Roman;Deutschland;jeM92168;coL35248
118;18;Alfred Andersch;Sansibar oder der letzte Grund;1957;Roman;Deutschland;XoI32508;Rbe20978
119;18;Alfred Andersch;Sansibar oder der letzte Grund;1957;Roman;Deutschland;LTN20859;kGQ92134
120;18;Alfred Andersch;Sansibar oder der letzte Grund;1957;Roman;Deutschland;Tfx15982;vJj21079
121;18;Alfred Andersch;Sansibar oder der letzte Grund;1957;Roman;Deutschland;bhv71306;uPw42809
122;18;Alfred Andersch;Sansibar oder der letzte Grund;1957;Roman;Deutschland;KiQ09236;EoR23865
123;18;Alfred Andersch;Sansibar oder der letzte Grund;1957;Roman;Deutschland;uBq09612;SVP46829
124;18;Alfred Andersch;Sansibar oder der letzte Grund;1957;Roman;Deutschland;PVg48509;VXa54798
125;19;Hans Christian Andersen;Märchen;1835;Erzählung;Dänemark;KzB70249;aFr57041
126;19;Hans Christian Andersen;Märchen;1835;Erzählung;Dänemark;RtN21405;EJm51487
127;19;Hans Christian Andersen;Märchen;1835;Erzählung;Dänemark;LzF28793;iPo53691
128;19;Hans Christian Andersen;Märchen;1835;Erzählung;Dänemark;MYa46273;vYt17582
129;19;Hans Christian Andersen;Märchen;1835;Erzählung;Dänemark;Hmb58096;jrM06589
130;19;Hans Christian Andersen;Märchen;1835;Erzählung;Dänemark;AMj19835;edj71369
131;20;Martin Andersen Nexø;Pelle, der Eroberer;1906;Roman;Dänemark;SMO43089;zSc05437
132;20;Martin Andersen Nexø;Pelle, der Eroberer;1906;Roman;Dänemark;aBz69185;zQX60789
133;20;Martin Andersen Nexø;Pelle, der Eroberer;1906;Roman;Dänemark;LMP54128;BWq07561
134;20;Martin Andersen Nexø;Pelle, der Eroberer;1906;Roman;Dänemark;evJ47238;tDE09312
135;20;Martin Andersen Nexø;Pelle, der Eroberer;1906;Roman;Dänemark;Phx69824;CSv93786
136;20;Martin Andersen Nexø;Pelle, der Eroberer;1906;Roman;Dänemark;AFv40953;dSu20986
137;21;Sherwood Anderson;Winesburg, Ohio;1923;Erzählung;USA;XrB78260;Kal40793
138;21;Sherwood Anderson;Winesburg, Ohio;1923;Erzählung;USA;UKY57912;umC82694
139;21;Sherwood Anderson;Winesburg, Ohio;1923;Erzählung;USA;KsA92480;eUZ27543
140;21;Sherwood Anderson;Winesburg, Ohio;1923;Erzählung;USA;jCH85901;Xjr63798
141;21;Sherwood Anderson;Winesburg, Ohio;1923;Erzählung;USA;LaI81097;tgT15720
142;21;Sherwood Anderson;Winesburg, Ohio;1923;Erzählung;USA;gbk78306;wjr04637
143;22;Mário de Andrade;Macunaíma – Der Held ohne jeden Charakter;1928;Roman;Brasilien;bAv04796;WZk23178
144;22;Mário de Andrade;Macunaíma – Der Held ohne jeden Charakter;1928;Roman;Brasilien;kMa64729;xTP06854
145;22;Mário de Andrade;Macunaíma – Der Held ohne jeden Charakter;1928;Roman;Brasilien;OGT28761;FhY48651
146;22;Mário de Andrade;Macunaíma – Der Held ohne jeden Charakter;1928;Roman;Brasilien;bLP20615;lcN04529
147;22;Mário de Andrade;Macunaíma – Der Held ohne jeden Charakter;1928;Roman;Brasilien;oZk17305;SlI28061
148;22;Mário de Andrade;Macunaíma – Der Held ohne jeden Charakter;1928;Roman;Brasilien;ZNG06349;cJI62087
149;22;Mário de Andrade;Macunaíma – Der Held ohne jeden Charakter;1928;Roman;Brasilien;Tdw09348;AuD17485
150;22;Mário de Andrade;Macunaíma – Der Held ohne jeden Charakter;1928;Roman;Brasilien;RGP21604;xgf29871
151;23;Ivo Andric;Die Brücke über die Drina;1945;Roman;Jugoslawien;geW96375;okC83160
152;23;Ivo Andric;Die Brücke über die Drina;1945;Roman;Jugoslawien;alV41295;kdE09758
153;23;Ivo Andric;Die Brücke über die Drina;1945;Roman;Jugoslawien;mru53146;vAW18347
154;23;Ivo Andric;Die Brücke über die Drina;1945;Roman;Jugoslawien;dHb18672;Knz91270
155;23;Ivo Andric;Die Brücke über die Drina;1945;Roman;Jugoslawien;REr38296;yez76108
156;23;Ivo Andric;Die Brücke über die Drina;1945;Roman;Jugoslawien;GsM01862;dTF84305
157;24;Jerzy Andrzejewski;Asche und Diamant;1948;Roman;Polen;Riq87209;WNh02357
158;24;Jerzy Andrzejewski;Asche und Diamant;1948;Roman;Polen;src60427;vBO38674
159;24;Jerzy Andrzejewski;Asche und Diamant;1948;Roman;Polen;GOP96874;shT39581
160;24;Jerzy Andrzejewski;Asche und Diamant;1948;Roman;Polen;phz14253;PrX60528
161;24;Jerzy Andrzejewski;Asche und Diamant;1948;Roman;Polen;LxW95072;Zbx97085
162;24;Jerzy Andrzejewski;Asche und Diamant;1948;Roman;Polen;hfF50896;XLu74210
163;24;Jerzy Andrzejewski;Asche und Diamant;1948;Roman;Polen;YTF32560;Etn98403
164;24;Jerzy Andrzejewski;Asche und Diamant;1948;Roman;Polen;fmj19568;Nbg20358
165;25;Gabriele D’Annunzio;Feuer;1900;Roman;Italien;OVg50148;cKZ36025
166;25;Gabriele D’Annunzio;Feuer;1900;Roman;Italien;EOR93246;iys18572
167;25;Gabriele D’Annunzio;Feuer;1900;Roman;Italien;bGF86341;zbZ31560
168;25;Gabriele D’Annunzio;Feuer;1900;Roman;Italien;zIn65837;BGr68140
169;25;Gabriele D’Annunzio;Feuer;1900;Roman;Italien;PlW26913;HOz54013
170;25;Gabriele D’Annunzio;Feuer;1900;Roman;Italien;gGz45023;HUL79541
171;25;Gabriele D’Annunzio;Feuer;1900;Roman;Italien;QOS34521;BKb16890
172;26;;Gilgamesch-Epos;-2400;Epos;Mesopotamien, Babylonien;Fbc96582;OIt83210
173;26;;Gilgamesch-Epos;-2400;Epos;Mesopotamien, Babylonien;anh58147;lbn62790
174;26;;Gilgamesch-Epos;-2400;Epos;Mesopotamien, Babylonien;mXn95320;TKm29346
175;26;;Gilgamesch-Epos;-2400;Epos;Mesopotamien, Babylonien;UsO67809;cRm36247
176;26;;Gilgamesch-Epos;-2400;Epos;Mesopotamien, Babylonien;iXS72469;xuK42918
177;26;;Gilgamesch-Epos;-2400;Epos;Mesopotamien, Babylonien;AQM04219;kOK45123
178;27;;Rigveda;-1200;Epos;Indien;mlz98432;jLK14260
179;27;;Rigveda;-1200;Epos;Indien;Wor25341;eCO32867
180;27;;Rigveda;-1200;Epos;Indien;Ybz56132;SrP61482
181;27;;Rigveda;-1200;Epos;Indien;iDO67208;hGB93028
182;27;;Rigveda;-1200;Epos;Indien;JfK35689;PLR70641
183;27;;Rigveda;-1200;Epos;Indien;Xfo23967;wOj82753
184;28;;Upanishaden;-800;Religion;Indien;Web08261;juk21053
185;28;;Upanishaden;-800;Religion;Indien;LnG23847;igc56307
186;28;;Upanishaden;-800;Religion;Indien;DTO01485;dqx57209
187;28;;Upanishaden;-800;Religion;Indien;gxh53901;Cxw71368
188;28;;Upanishaden;-800;Religion;Indien;nwe15602;SDr67953
189;29;;Reden des Buddha;-566;Religion;Indien;mPM96247;FXu46895
190;29;;Reden des Buddha;-566;Religion;Indien;Dyt50743;tVw73506
191;29;;Reden des Buddha;-566;Religion;Indien;iZr01273;fAe28519
192;29;;Reden des Buddha;-566;Religion;Indien;vwo41897;hFI28145
193;29;;Reden des Buddha;-566;Religion;Indien;opN75610;Qfs21480
194;29;;Reden des Buddha;-566;Religion;Indien;AiQ71095;jmg48216
195;29;;Reden des Buddha;-566;Religion;Indien;wlU39867;tNA74802
196;30;;Mahabharata;-400;Epos;Indien;kje57620;XUz64217
197;30;;Mahabharata;-400;Epos;Indien;pRD35714;ols57203
198;30;;Mahabharata;-400;Epos;Indien;CtP37280;kqn51972
199;30;;Mahabharata;-400;Epos;Indien;jIx57138;eZr60873
200;30;;Mahabharata;-400;Epos;Indien;OLZ23705;lPT63028
201;30;;Mahabharata;-400;Epos;Indien;XgV56804;qJv90253
202;30;;Mahabharata;-400;Epos;Indien;Dad30897;uTF86935
203;30;;Mahabharata;-400;Epos;Indien;TqP60587;IUF47908
204;31;;Ramayana;-400;Epos;Indien;sbN76285;KqQ02513
205;31;;Ramayana;-400;Epos;Indien;Uoc41368;qXM24560
206;31;;Ramayana;-400;Epos;Indien;UJY98602;sVM51826
207;31;;Ramayana;-400;Epos;Indien;EJO59860;oxB34518
208;31;;Ramayana;-400;Epos;Indien;xbu58794;Epv20375
209;31;;Ramayana;-400;Epos;Indien;cJU79804;UhI48275
210;32;;Das Buch der Wandlungen – Yijing;-256;Orakelbuch;China;Dcd24796;IcH76021
211;32;;Das Buch der Wandlungen – Yijing;-256;Orakelbuch;China;OKg73052;mWJ92875
212;32;;Das Buch der Wandlungen – Yijing;-256;Orakelbuch;China;lvp94031;vol40972
213;32;;Das Buch der Wandlungen – Yijing;-256;Orakelbuch;China;VMv82079;tdD82654
214;32;;Das Buch der Wandlungen – Yijing;-256;Orakelbuch;China;CVf93015;rVM05921
215;32;;Das Buch der Wandlungen – Yijing;-256;Orakelbuch;China;nCX72691;Dgq68910
216;33;;Bibel;;Religion;Palästina;Xkd05378;Ujc14286
217;33;;Bibel;;Religion;Palästina;Cco79638;cor81273
218;33;;Bibel;;Religion;Palästina;WcT13586;Odv62745
219;33;;Bibel;;Religion;Palästina;tUL32498;CuX65981
220;33;;Bibel;;Religion;Palästina;gyG53421;pxJ53609
221;33;;Bibel;;Religion;Palästina;Opb12594;VQW46879
222;33;;Bibel;;Religion;Palästina;chT29483;Acd02976
223;34;;Talmud;300;Religion;Palästina;nwq15438;YcI30792
224;34;;Talmud;300;Religion;Palästina;pVD16420;GPc50742
225;34;;Talmud;300;Religion;Palästina;lIG70365;uAZ63580
226;34;;Talmud;300;Religion;Palästina;YGi87639;rpI49531
227;34;;Talmud;300;Religion;Palästina;ioU26459;fDB28436
228;34;;Talmud;300;Religion;Palästina;dec21846;yOR61392
229;35;;Koran;600;Religion;Arabien;MBY30298;Bbl17234
230;35;;Koran;600;Religion;Arabien;LwP73258;PAU38674
231;35;;Koran;600;Religion;Arabien;UzO15268;HED63471
232;35;;Koran;600;Religion;Arabien;tNY21560;bLF90715
233;35;;Koran;600;Religion;Arabien;sGn51943;djt34827
234;35;;Koran;600;Religion;Arabien;ZEk08679;Cxk63905
235;35;;Koran;600;Religion;Arabien;cFr83702;XjC38902
236;36;;Beowulf;700;Epos;Großbritannien;cHp46018;fug27589
237;36;;Beowulf;700;Epos;Großbritannien;clv23489;GRl08739
238;36;;Beowulf;700;Epos;Großbritannien;XlO72834;NWT26301
239;36;;Beowulf;700;Epos;Großbritannien;bWN76439;fbt63087
240;36;;Beowulf;700;Epos;Großbritannien;OMf67985;EfQ12570
241;37;;Rolandslied;1100;Epos;Frankreich;jpv97485;WDa87649
242;37;;Rolandslied;1100;Epos;Frankreich;KWf01872;kOb26703
243;37;;Rolandslied;1100;Epos;Frankreich;TCV07824;KWU45780
244;37;;Rolandslied;1100;Epos;Frankreich;byV26503;Mcr06423
245;37;;Rolandslied;1100;Epos;Frankreich;GNH29501;wnP32974
246;37;;Rolandslied;1100;Epos;Frankreich;TMx13592;swp51482
247;37;;Rolandslied;1100;Epos;Frankreich;jzJ06192;VkP34912
248;37;;Rolandslied;1100;Epos;Frankreich;PEo53106;sMN21037
249;38;;Nibelungenlied;1200;Epos;Deutschland;KpU29380;tDg54790
250;38;;Nibelungenlied;1200;Epos;Deutschland;Hsu59201;FJn38174
251;38;;Nibelungenlied;1200;Epos;Deutschland;cvF40793;TZS34985
252;38;;Nibelungenlied;1200;Epos;Deutschland;KZy21304;bAJ46795
253;38;;Nibelungenlied;1200;Epos;Deutschland;zRG62301;FPw62951
254;38;;Nibelungenlied;1200;Epos;Deutschland;nfe90241;pZC57926
255;38;;Nibelungenlied;1200;Epos;Deutschland;SBb90781;UBP24695
256;38;;Nibelungenlied;1200;Epos;Deutschland;QuS31426;KJW27648
257;39;Guillaume de Lorris, Jean de Meung;Rosenroman;1230;Versroman;Frankreich;ONe95381;vKo43598
258;39;Guillaume de Lorris, Jean de Meung;Rosenroman;1230;Versroman;Frankreich;dek20987;Omo92853
259;39;Guillaume de Lorris, Jean de Meung;Rosenroman;1230;Versroman;Frankreich;jtb12634;oMt39207
260;39;Guillaume de Lorris, Jean de Meung;Rosenroman;1230;Versroman;Frankreich;MpU23674;MOd62950
261;39;Guillaume de Lorris, Jean de Meung;Rosenroman;1230;Versroman;Frankreich;VUC95764;Jts82107
262;40;;Edda;1300;Epos;Island;RCK48219;fdO96754
263;40;;Edda;1300;Epos;Island;xNQ60542;kRz49081
264;40;;Edda;1300;Epos;Island;gbJ56103;bxd85120
265;40;;Edda;1300;Epos;Island;FeV36041;VdM87026
266;40;;Edda;1300;Epos;Island;oEH12436;QFx94027
267;40;;Edda;1300;Epos;Island;GFn59087;sux78906
268;40;;Edda;1300;Epos;Island;Kke42165;rsq03518
269;40;;Edda;1300;Epos;Island;MDJ54068;VsK87492
270;41;;Amadisroman;1508;Roman;Spanien;Wvp47120;yHf40693
271;41;;Amadisroman;1508;Roman;Spanien;QqB27960;auL45179
272;41;;Amadisroman;1508;Roman;Spanien;UER25734;Htp64891
273;41;;Amadisroman;1508;Roman;Spanien;zBH41083;Ytj26409
274;41;;Amadisroman;1508;Roman;Spanien;ZBl30467;uSD75609
275;41;;Amadisroman;1508;Roman;Spanien;frL89654;cRj07834
276;42;;Jinpingmei;1582;Roman;China;hzu53864;cDJ12567
277;42;;Jinpingmei;1582;Roman;China;dCT16270;uHB95674
278;42;;Jinpingmei;1582;Roman;China;uhd40852;sWA42051
279;42;;Jinpingmei;1582;Roman;China;puy02481;kEQ81937
280;42;;Jinpingmei;1582;Roman;China;YHt58637;ARy19576
281;42;;Jinpingmei;1582;Roman;China;GBa07196;WtB92765
282;43;;Tausendundeine Nacht;1838;Erzählung;Arabien, Iran;LPt67219;UBa06548
283;43;;Tausendundeine Nacht;1838;Erzählung;Arabien, Iran;Ilq07185;bqK82036
284;43;;Tausendundeine Nacht;1838;Erzählung;Arabien, Iran;sxy53618;Fku21865
285;43;;Tausendundeine Nacht;1838;Erzählung;Arabien, Iran;vfS25069;ImZ89715
286;43;;Tausendundeine Nacht;1838;Erzählung;Arabien, Iran;ubZ25340;XzI92753
287;43;;Tausendundeine Nacht;1838;Erzählung;Arabien, Iran;SWg50872;APn74035
288;43;;Tausendundeine Nacht;1838;Erzählung;Arabien, Iran;JVF83129;BsU03695
289;43;;Tausendundeine Nacht;1838;Erzählung;Arabien, Iran;vsz41930;yki25063
290;44;António Lobo Antunes;Das Handbuch der Inquisitoren;1996;Roman;Portugal;EeG47539;Lxl75248
291;44;António Lobo Antunes;Das Handbuch der Inquisitoren;1996;Roman;Portugal;cxg72831;jtA82370
292;44;António Lobo Antunes;Das Handbuch der Inquisitoren;1996;Roman;Portugal;wfb49231;LoZ73654
293;44;António Lobo Antunes;Das Handbuch der Inquisitoren;1996;Roman;Portugal;OYW48961;ZYn71520
294;44;António Lobo Antunes;Das Handbuch der Inquisitoren;1996;Roman;Portugal;Omb52319;YTp53462
295;44;António Lobo Antunes;Das Handbuch der Inquisitoren;1996;Roman;Portugal;vyB54706;Jpm63271
296;44;António Lobo Antunes;Das Handbuch der Inquisitoren;1996;Roman;Portugal;qRo02615;QtE03598
297;45;Guillaume Apollinaire;Alkohol;1913;Lyrik;Frankreich;PtM43819;viA82165
298;45;Guillaume Apollinaire;Alkohol;1913;Lyrik;Frankreich;iWA87021;Pzr08216
299;45;Guillaume Apollinaire;Alkohol;1913;Lyrik;Frankreich;NAJ02715;laQ65207
300;45;Guillaume Apollinaire;Alkohol;1913;Lyrik;Frankreich;Oid23745;dcH64317
301;45;Guillaume Apollinaire;Alkohol;1913;Lyrik;Frankreich;ZNV42871;uzo58690
302;46;Apuleius;Der goldene Esel;180;Roman;Latein;hSR30872;RZV91754
303;46;Apuleius;Der goldene Esel;180;Roman;Latein;sAD86152;cmX32589
304;46;Apuleius;Der goldene Esel;180;Roman;Latein;pDS63042;sXH61840
305;46;Apuleius;Der goldene Esel;180;Roman;Latein;Bqb81054;Xpm70342
306;46;Apuleius;Der goldene Esel;180;Roman;Latein;WYB06783;hOb82609
